iform	iclass	category	extension	isa_set	mode	bytes	xed_iform	xed_length	decoder_contract	operand_contract	legality_contract	formatter_contract	evidence_state	blocker
CCMPNL_MEMi8_IMM8_DFV_APX_N3	CCMPNL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0d 80 38 00	CCMPNL_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNL_MEMv_GPRv_DFV_APX_N3	CCMPNL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0d 39 00	CCMPNL_MEMv_GPRv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNL_MEMv_IMM8_DFV_APX_N3	CCMPNL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0d 83 38 00	CCMPNL_MEMv_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNL_MEMv_IMMz_DFV_APX_N3	CCMPNL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0d 81 38 00 00 00 00	CCMPNL_MEMv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_GPR8i8_GPR8i8_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 7c 01 38 c0	CCMPNO_GPR8i8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_GPR8i8_IMM8_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 7c 01 80 f8 00	CCMPNO_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_GPR8i8_MEMi8_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 78 01 3a 00	CCMPNO_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_GPRv_IMMz_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 7d 01 81 f8 00 00	CCMPNO_GPRv_IMMz_DFV_APX_N3	8	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_GPRv_MEMv_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 79 01 3b 00	CCMPNO_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_MEMi8_GPR8i8_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 78 01 38 00	CCMPNO_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNO_MEMi8_IMM8_DFV_APX_N3	CCMPNO	APX	APXEVEX	APX_F_N3	64	62 f4 78 01 80 38 00	CCMPNO_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
