leaf_index	instruction_set	width	fixed_mask	fixed_value	fixed_bits	internal_name	mnemonic	assembly_template	feature_condition_id	all_conditions_digest	assertions_digest	operation_id	alias_count	form_id	source_order
4185	A64	32	0xfff0e000	0xa460e000	15	ld4b_z_p_bi_contiguous	LD4B	LD4B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.B<rule:COMMA><rule:Zt2__4>.B<rule:COMMA><rule:Zt3__2>.B<rule:COMMA><rule:Zt4__3>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__8>]	43	aea8c59c4f1552701f3557c7c60f90d91a5525000b4948ed68729127a0b96a41	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld4b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_eld_si/ld4b_z_p_bi_contiguous	3367
4186	A64	32	0xfff0e000	0xa470a000	15	ldnf1b_z_p_bi_u64	LDNF1B	LDNF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnf1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnf_si/ldnf1b_z_p_bi_u64	3332
4187	A64	32	0xffe0e000	0xa4800000	14	ld1rqh_z_p_br_contiguous	LD1RQH	LD1RQH<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4><rule:COMMA>LSL<rule:OPT_SPACE><rule:hash>1]	29	3001118fa701730b026059c59a9742cd842acc656c5b2c0523a08acd383a0c98	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1rqh_z_p_br	0	A64/sve/sve_memcld/sve_mem_ldqr_ss/ld1rqh_z_p_br_contiguous	3260
4188	A64	32	0xfff0e000	0xa4802000	15	ld1rqh_z_p_bi_u16	LD1RQH	LD1RQH<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__17>]	93	0b4afea010c48842951d00e1b606cd5d78eb49c87811fe46cfc535ddd52672bc	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1rqh_z_p_bi	0	A64/sve/sve_memcld/sve_mem_ldqr_si/ld1rqh_z_p_bi_u16	3268
4189	A64	32	0xffe0e000	0xa4804000	14	ld1sw_z_p_br_s64	LD1SW	LD1SW<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4><rule:COMMA>LSL<rule:OPT_SPACE><rule:hash>2]	84	f25256393b7f7ba1131c033461b295675570d015e37693d89645297f021efbdd	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1sw_z_p_br	0	A64/sve/sve_memcld/sve_mem_cld_ss/ld1sw_z_p_br_s64	3280
4190	A64	32	0xffe0e000	0xa4806000	14	ldff1sw_z_p_br_s64	LDFF1SW	LDFF1SW<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_Xm__7>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldff1sw_z_p_br	0	A64/sve/sve_memcld/sve_mem_cldff_ss/ldff1sw_z_p_br_s64	3296
4191	A64	32	0xfff0e000	0xa480a000	15	ld1sw_z_p_bi_s64	LD1SW	LD1SW<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	92	f318c8c256fc8a0f8389aba153e32c8afa776eafdb7189c6a57b1310da0e936a	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1sw_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cld_si/ld1sw_z_p_bi_s64	3317
4192	A64	32	0xffe0e000	0xa480c000	14	ldnt1h_z_p_br_contiguous	LDNT1H	LDNT1H<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4><rule:COMMA>LSL<rule:OPT_SPACE><rule:hash>1]	84	f25256393b7f7ba1131c033461b295675570d015e37693d89645297f021efbdd	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnt1h_z_p_br	0	A64/sve/sve_memcld/sve_mem_cldnt_ss/ldnt1h_z_p_br_contiguous	3346
4193	A64	32	0xfff0e000	0xa480e000	15	ldnt1h_z_p_bi_contiguous	LDNT1H	LDNT1H<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	92	f318c8c256fc8a0f8389aba153e32c8afa776eafdb7189c6a57b1310da0e936a	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnt1h_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnt_si/ldnt1h_z_p_bi_contiguous	3362
4194	A64	32	0xfff0e000	0xa490a000	15	ldnf1sw_z_p_bi_s64	LDNF1SW	LDNF1SW<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnf1sw_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnf_si/ldnf1sw_z_p_bi_s64	3333
4195	A64	32	0xfff0e000	0xa490e000	15	ld2q_z_p_bi_contiguous	LD2Q	LD2Q<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.Q<rule:COMMA><rule:Zt2__4>.Q<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__7>]	104	9cb9a30b04933b9d51f2e3bb0dd3a0f6c9f221c0ab3dd5b14ecf0df35c738476	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld2q_z_p_bi	0	A64/sve/sve_memcld/sve_mem_eldq_si/ld2q_z_p_bi_contiguous	3377
4196	A64	32	0xffe0e000	0xa4a00000	14	ld1roh_z_p_br_contiguous	LD1ROH	LD1ROH<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4><rule:COMMA>LSL<rule:OPT_SPACE><rule:hash>1]	30	a10e2221434a60342ef0091e9c65a0871bb0e2817f3c03c079f248cb14a0b528	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1roh_z_p_br	0	A64/sve/sve_memcld/sve_mem_ldqr_ss/ld1roh_z_p_br_contiguous	3261
4197	A64	32	0xfff0e000	0xa4a02000	15	ld1roh_z_p_bi_u16	LD1ROH	LD1ROH<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__16>]	138	a3123128c89d8c8b976a3d741cfbd8d436986cf7780491707e36c06f14c3cdca	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1roh_z_p_bi	0	A64/sve/sve_memcld/sve_mem_ldqr_si/ld1roh_z_p_bi_u16	3269
4198	A64	32	0xffe0e000	0xa4a04000	14	ld1h_z_p_br_u16	LD1H	LD1H<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4><rule:COMMA>LSL<rule:OPT_SPACE><rule:hash>1]	84	f25256393b7f7ba1131c033461b295675570d015e37693d89645297f021efbdd	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1h_z_p_br	0	A64/sve/sve_memcld/sve_mem_cld_ss/ld1h_z_p_br_u16	3281
4199	A64	32	0xffe0e000	0xa4a06000	14	ldff1h_z_p_br_u16	LDFF1H	LDFF1H<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_Xm__5>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldff1h_z_p_br	0	A64/sve/sve_memcld/sve_mem_cldff_ss/ldff1h_z_p_br_u16	3297
