binding_set_id	first_binding	binding_count	digest
179	2278	10	ea386000e15cde15f5348138d652b1a341e3f88bf695266aa441d112b819edaa
180	2288	10	4d812e322940e890d66a987ba731d77f447e9cc812bf4c2cd8b4dd156b400a85
181	2298	12	f35c8f91545472646be8d824817b8d21c7a6ed6f298a2e7e1a2324e1a49e8825
182	2310	12	c718990999f4ba7ffb6b418350b6055c9658ed42c212582b27c6345454588c1f
183	2322	11	e854e168c498c3bd522de8801f6b12caf5afdbea045c06812e74b3e19a332d32
184	2333	7	83f12e2fbb459bf23e8dfd79e505d20267980bcbcccd775615cffe25f6b1ae84
185	2340	8	518917ec4e3ed53bbbc850640bff1ba7232189b45a83d9aa4ea8e1ada9827739
186	2348	12	f0eb0d71b5724b903dbedf17d287f2e983dbee7297efdcd0e1d8ebe2b5b4dd56
187	2360	12	48a6203409bf14eb830d33d250babe1adbe5ea0054341772ec047315babb11a6
188	2372	8	ae5eb3ba7330294866dfa524bf81ea613bb4aef38e7431e60c6ea1ee2b2634a6
189	2380	6	14155f1ace192483f7807d83a78760d0b5d37ca500ada39f3c324959cf888ec9
190	2386	5	8115d12eabde2039b3bdd35d7954275ac46061d413ca738447ac71b5ef82f8af
191	2391	13	52fd2e063e771b74bafba12cc70212ae181ad80b1076461e2e3442b3d82036b8
192	2404	14	b87ad897338eec2aabfc0d1f750c69e15d5a522f40fe943c9b1db5acdb66b1a1
193	2418	12	3d435d05fdef61aa2bac8a00508cca385413de90c7e0d94b89f65786b2eddb6d
194	2430	13	8f77683efa1e03eadd66daeb8616f724f5d2ad61695bfd54fe4125094542ddc8
195	2443	7	71148993a9a46b82b28ccb02c3984cc0be07e7e0d914008c98252c005af7a95b
196	2450	14	f2d575daaca9d7bd82e773792c6e449e3ce511467cf73c817dc43a3d0f6f0adf
197	2464	10	5557eaa19d90b542196471c66c18cf271474d5ffcfd7ee3011de38a7256a468a
198	2474	9	79e91a1edbb634c6c03b5d5946cd7315ff0a94c611a13e2c9c1a360ec674e856
199	2483	10	d48672d68b860f363f23a54b3361474fd8e5089c6a521e24bed9b08ae358b0e3
200	2493	15	04a1edc3e11a5ed6cd9f80c62abe7c789448b0a397aad8c3efb13c11793a4507
201	2508	16	3ccdc3889bda8689751b496cfb5b29869eae5fe987d7d8699eabf7b786b5ad18
202	2524	15	0d9b73fc99f7867d395b8cf9014b2679a59c240d0b9cf3bf2eb49d803e35890a
203	2539	16	199d8511c334ac4f94a8b2f9c4b42237a1f085ff5fefb935105676e9862edb51
204	2555	15	aaa0535717e05afa2d0d6f2d419c1fe420266dbbe42a49ac24249347898bb143
205	2570	15	76f3e6e84e5ad2adbac0b1c98b72a922720f3628723e8cadda2f60d4434d67f2
206	2585	15	774be88233c9993d1ce243f543865378e43658706b5b763d2ea3c4fcb3e03805
207	2600	15	72be23822b358d1ffaa5f2a280e62fd7afa163c54e7a2a3fe24db5a8dbccab8b
208	2615	14	33eb001c663cd1b4a7b410add7bad380e8290d50bdf955cd21dea4e50d96bbbe
209	2629	14	5ac4f22d549337bee60dd00e783f082eabaae787836b7c96160d25d477c594cc
210	2643	15	ffc715841811f31554133dc3d3b8b45aca51ea221775c73eebd31b5b2cf7372a
211	2658	14	4f2f4ee56c76ea6d79dda10e2ea0363cd3799438992acb42726810c22b3e7194
