descriptor_index	iform_id	name_id	group_id	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	iclass	isa_set
3194	6637	1107	108	62	0	0x4000000000000000	VPDPBSUDS	AVX_VNNI_INT8
3195	6652	1095	83	61	0	0x2000000000000000	VPDPBUSDS	AVX_VNNI
3196	6653	1095	83	61	0	0x2000000000000000	VPDPBUSDS	AVX_VNNI
3197	6656	1095	83	61	0	0x2000000000000000	VPDPBUSDS	AVX_VNNI
3198	6657	1095	83	61	0	0x2000000000000000	VPDPBUSDS	AVX_VNNI
3199	6672	1109	108	62	0	0x4000000000000000	VPDPBUUDS	AVX_VNNI_INT8
3200	6673	1109	108	62	0	0x4000000000000000	VPDPBUUDS	AVX_VNNI_INT8
3201	6676	1109	108	62	0	0x4000000000000000	VPDPBUUDS	AVX_VNNI_INT8
3202	6677	1109	108	62	0	0x4000000000000000	VPDPBUUDS	AVX_VNNI_INT8
3203	6702	1096	83	61	0	0x2000000000000000	VPDPWSSD	AVX_VNNI
3204	6703	1096	83	61	0	0x2000000000000000	VPDPWSSD	AVX_VNNI
3205	6706	1096	83	61	0	0x2000000000000000	VPDPWSSD	AVX_VNNI
3206	6707	1096	83	61	0	0x2000000000000000	VPDPWSSD	AVX_VNNI
3207	6692	1097	83	61	0	0x2000000000000000	VPDPWSSDS	AVX_VNNI
3208	6693	1097	83	61	0	0x2000000000000000	VPDPWSSDS	AVX_VNNI
3209	6696	1097	83	61	0	0x2000000000000000	VPDPWSSDS	AVX_VNNI
3210	6697	1097	83	61	0	0x2000000000000000	VPDPWSSDS	AVX_VNNI
3211	6355	1815	46	9	0	0x0000000000000200	VPBROADCASTD	AVX2
3212	6356	1815	46	9	0	0x0000000000000200	VPBROADCASTD	AVX2
3213	6360	1815	46	9	0	0x0000000000000200	VPBROADCASTD	AVX2
3214	6361	1815	46	9	0	0x0000000000000200	VPBROADCASTD	AVX2
3215	6374	1816	46	9	0	0x0000000000000200	VPBROADCASTQ	AVX2
3216	6375	1816	46	9	0	0x0000000000000200	VPBROADCASTQ	AVX2
3217	6379	1816	46	9	0	0x0000000000000200	VPBROADCASTQ	AVX2
3218	6380	1816	46	9	0	0x0000000000000200	VPBROADCASTQ	AVX2
3219	3554	1486	46	9	0	0x0000000000000200	VBROADCASTI128	AVX2
3220	3266	730	87	45	0	0x0000200000000000	TDPBF16PS	AMX_BF16
3221	3273	802	93	46	0	0x0000400000000000	TDPFP16PS	AMX_FP16
3222	3269	726	86	44	0	0x0000100000000000	TDPBSSD	AMX_INT8
3223	3270	727	86	44	0	0x0000100000000000	TDPBSUD	AMX_INT8
3224	3271	728	86	44	0	0x0000100000000000	TDPBUSD	AMX_INT8
3225	3272	729	86	44	0	0x0000100000000000	TDPBUUD	AMX_INT8
3226	3253	925	98	47	0	0x0000800000000000	TCMMIMFP16PS	AMX_COMPLEX
3227	3254	926	98	47	0	0x0000800000000000	TCMMRLFP16PS	AMX_COMPLEX
