xed_index	iclass	macro_token	name_id	formatter_mnemonic	allocation	record_count
431	KORTESTQ	KORTESTQ	975	kortestq	existing	1
432	KORTESTW	KORTESTW	947	kortestw	existing	1
433	KORW	KORW	948	korw	existing	1
434	KSHIFTLB	KSHIFTLB	976	kshiftlb	existing	1
435	KSHIFTLD	KSHIFTLD	977	kshiftld	existing	1
436	KSHIFTLQ	KSHIFTLQ	978	kshiftlq	existing	1
437	KSHIFTLW	KSHIFTLW	949	kshiftlw	existing	1
438	KSHIFTRB	KSHIFTRB	979	kshiftrb	existing	1
439	KSHIFTRD	KSHIFTRD	980	kshiftrd	existing	1
440	KSHIFTRQ	KSHIFTRQ	981	kshiftrq	existing	1
441	KSHIFTRW	KSHIFTRW	950	kshiftrw	existing	1
442	KTESTB	KTESTB	982	ktestb	existing	1
443	KTESTD	KTESTD	983	ktestd	existing	1
444	KTESTQ	KTESTQ	984	ktestq	existing	1
445	KTESTW	KTESTW	985	ktestw	existing	1
446	KUNPCKBW	KUNPCKBW	951	kunpckbw	existing	1
447	KUNPCKDQ	KUNPCKDQ	986	kunpckdq	existing	1
448	KUNPCKWD	KUNPCKWD	987	kunpckwd	existing	1
449	KXNORB	KXNORB	988	kxnorb	existing	1
450	KXNORD	KXNORD	989	kxnord	existing	1
451	KXNORQ	KXNORQ	990	kxnorq	existing	1
452	KXNORW	KXNORW	952	kxnorw	existing	1
453	KXORB	KXORB	991	kxorb	existing	1
454	KXORD	KXORD	992	kxord	existing	1
455	KXORQ	KXORQ	993	kxorq	existing	1
456	KXORW	KXORW	953	kxorw	existing	1
457	LAHF	LAHF	97	lahf	existing	1
458	LAR	LAR	98	lar	existing	2
459	LDDQU	LDDQU	437	lddqu	existing	1
460	LDMXCSR	LDMXCSR	316	ldmxcsr	existing	1
461	LDS	LDS	1130	lds	existing	1
462	LDTILECFG	LDTILECFG	719	ldtilecfg	existing	2
463	LEA	LEA	99	lea	existing	1
464	LEAVE	LEAVE	100	leave	existing	1
465	LES	LES	1131	les	existing	1
466	LFENCE	LFENCE	1137	lfence	existing	1
467	LFS	LFS	101	lfs	existing	1
468	LGDT	LGDT	102	lgdt	existing	2
469	LGS	LGS	103	lgs	existing	1
470	LIDT	LIDT	104	lidt	existing	2
471	LKGS	LKGS	1336	lkgs	appended	2
472	LLDT	LLDT	105	lldt	existing	2
473	LLWPCB	LLWPCB	1337	llwpcb	appended	1
474	LMSW	LMSW	106	lmsw	existing	2
475	LOADIWKEY	LOADIWKEY	1338	loadiwkey	appended	1
476	LODSB	LODSB	107	lodsb	existing	1
477	LODSD	LODSD	108	lodsd	existing	3
478	LODSQ	LODSQ	109	lodsq	existing	1
479	LODSW	LODSW	110	lodsw	existing	3
480	LOOP	LOOP	111	loop	existing	1
481	LOOPE	LOOPE	112	loope	existing	4
482	LOOPNE	LOOPNE	113	loopne	existing	4
483	LSL	LSL	114	lsl	existing	2
484	LSS	LSS	115	lss	existing	1
485	LTR	LTR	116	ltr	existing	2
486	LWPINS	LWPINS	1339	lwpins	appended	2
487	LWPVAL	LWPVAL	1340	lwpval	appended	2
488	LZCNT	LZCNT	117	lzcnt	existing	10
489	MASKMOVDQU	MASKMOVDQU	1341	maskmovdqu	appended	1
490	MASKMOVQ	MASKMOVQ	335	maskmovq	existing	1
491	MAXPD	MAXPD	361	maxpd	existing	2
492	MAXPS	MAXPS	303	maxps	existing	2
493	MAXSD	MAXSD	362	maxsd	existing	2
494	MAXSS	MAXSS	304	maxss	existing	2
495	MCOMMIT	MCOMMIT	1342	mcommit	appended	1
